"actor_id","name","year_of_birth","nationality","gender"
"1","Abbie Cornish","1982","Australia","female"
"2","Adam Sandler","1966","USA","male"
"3","Al Pacino","1940","USA","male"
"4","Amy Adams","1974","USA","female"
"5","Andrea Riseborough","1981","British","female"
"6","Anjelica Huston","1951","USA","female"
"7","Annasophia Robb","1993","USA","female"
"8","Anne Hathaway","1982","USA","female"
"9","Anthony Hopkins","1937","British","male"
"10","Barkhad Abdi","1985","Somalia","male"
"11","Barry Pepper","1970","Canada","male"
"12","Benicio Del Toro","1967","Puerto Rico","male"
"13","Bette Midler","1945","USA","female"
"14","Bill Nighy","1949","British","male"
"15","Bridget Moynahan","1971","USA","female"
"16","Bruce Dern","1936","USA","male"
"17","Bruce McGill","1950","USA","male"
"18","Bryce Dallas Howard","1981","USA","female"
"19","Carice van Houten","1976","Netherlands","female"
"20","Cate Blanchett","1969","Australia","female"
"21","Catherine Keener","1959","USA","female"
"22","Channing Tatum","1980","USA","male"
"23","Charlize Theron","1975","South Africa","female"
"24","Chris Cooper","1951","USA","male"
"25","Christian Bale","1974","British","male"
"26","Christina Ricci","1980","USA","female"
"27","Christoph Waltz","1956","Austria","male"
"28","Ciaran Hinds","1953","Northern Ireland","male"
"29","Colin Farrell","1976","Ireland","male"
"30","Colin Firth","1960","British","male"
"31","Daniel Craig","1968","British","male"
"32","Daniel Radcliffe","1989","British","male"
"33","Denzel Washington","1954","USA","male"
"34","Diane Keaton","1946","USA","female"
"35","Donald Sutherland","1935","Canada","male"
"36","Eddie Murphy","1961","USA","male"
"37","Eddie Redmayne","1982","British","male"
"38","Ed Harris","1950","USA","male"
"39","Edward Norton","1969","USA","male"
"40","Elijah Wood","1981","USA","male"
"41","Emma Stone","1988","USA","female"
"42","Emma Watson","1990","British","female"
"43","Ethan Hawke","1970","USA","male"
"44","Fernando Tielve","1986","Spain","male"
"45","Frances McDormand","1957","USA","female"
"46","Freddie Highmore","1992","British","male"
"47","Gene Hackman","1930","USA","male"
"48","Geoffrey Rush","1951","Australia","male"
"49","George Clooney","1961","USA","male"
"50","Gwyneth Paltrow","1972","USA","female"
"51","Haley Joel Osment","1988","USA","male"
"52","Halle Berry","1966","USA","female"
"53","Harrison Ford","1942","USA","male"
"54","Heath Ledger","1979","Australia","male"
"55","Hector Bordoni","1965","Argentina","male"
"56","Helen Hunt","1963","USA","female"
"57","Helen Mirren","1945","British","female"
"58","Hugh Grant","1960","British","male"
"59","Hugh Jackman","1968","Australia","male"
"60","Hugo Weaving","1960","Australia","male"
"61","Ian McKellen","1939","British","male"
"62","Irene Escolar","1988","Spain","female"
"63","Jack Nicholson","1937","USA","male"
"64","Jamie Foxx","1967","USA","male"
"65","Javier Bardem","1969","Spain","male"
"66","Jennifer Garner","1972","USA","female"
"67","Jennifer Lawrence","1990","USA","female"
"68","Jennifer Lopez","1969","USA","female"
"69","Jeremy Northam","1961","British","male"
"70","Jesse Eisenberg","1983","USA","male"
"71","Jim Broadbent","1949","British","male"
"72","John Cusack","1966","USA","male"
"73","John Hawkes","1959","USA","male"
"74","John Malkovich","1953","USA","male"
"75","John Travolta","1954","USA","male"
"76","Josh Brolin","1968","USA","male"
"77","Josh Hutcherson","1992","USA","male"
"78","Julie Christie","1940","British","female"
"79","Kate Hudson","1979","USA","female"
"80","Katie Holmes","1978","USA","female"
"81","Keanu Reeves","1964","Canada","male"
"82","Kerry Washington","1977","USA","female"
"83","Kevin Breznahan","1968","USA","male"
"84","Kristen Bell","1980","USA","female"
"85","Leonardo DiCaprio","1974","USA","male"
"86","Liam Hemsworth","1990","Australia","male"
"87","Liam Neeson","1952","Northern Ireland","male"
"88","Lisa Kudrow","1963","USA","female"
"89","Liv Tyler","1977","USA","female"
"90","Maggie Gyllenhaal","1977","USA","female"
"91","Marcia Gay Harden","1959","USA","female"
"92","Marisa Tomei","1964","USA","female"
"93","Mark Wahlberg","1971","USA","male"
"94","Maryam Karimi","","","female"
"95","Matt Dillon","1964","USA","male"
"96","Matthew McConaughey","1969","USA","male"
"97","Mel Gibson","1956","USA","male"
"98","Michael Caine","1933","British","male"
"99","Michael Pena","1976","USA","male"
"100","Mohamad Dolati","","","male"
