"renting_id","customer_id","movie_id","rating","date_renting"
"1","41","8","","2018-10-09T00:00:00.000Z"
"2","10","29","10","2017-03-01T00:00:00.000Z"
"3","108","45","4","2018-06-08T00:00:00.000Z"
"4","39","66","8","2018-10-22T00:00:00.000Z"
"5","104","15","7","2019-03-18T00:00:00.000Z"
"6","50","71","7","2018-10-09T00:00:00.000Z"
"7","52","21","","2018-11-10T00:00:00.000Z"
"8","73","65","10","2018-06-05T00:00:00.000Z"
"9","78","2","","2017-09-03T00:00:00.000Z"
"10","121","43","","2017-11-08T00:00:00.000Z"
"11","61","61","","2017-06-04T00:00:00.000Z"
"12","52","65","10","2018-06-29T00:00:00.000Z"
"13","34","58","7","2017-05-14T00:00:00.000Z"
"14","8","29","","2018-08-03T00:00:00.000Z"
"15","13","5","10","2017-11-25T00:00:00.000Z"
"16","59","59","","2018-08-12T00:00:00.000Z"
"17","22","46","10","2019-02-16T00:00:00.000Z"
"18","36","39","10","2019-03-20T00:00:00.000Z"
"19","99","12","","2018-09-16T00:00:00.000Z"
"20","73","32","","2018-09-01T00:00:00.000Z"
"21","30","60","10","2018-02-20T00:00:00.000Z"
"22","19","35","","2017-05-03T00:00:00.000Z"
"23","46","6","9","2018-04-09T00:00:00.000Z"
"24","57","41","7","2018-08-16T00:00:00.000Z"
"25","66","49","7","2017-08-09T00:00:00.000Z"
"26","118","27","8","2018-12-01T00:00:00.000Z"
"27","7","36","","2019-03-14T00:00:00.000Z"
"28","113","40","7","2018-04-05T00:00:00.000Z"
"29","102","66","7","2018-07-25T00:00:00.000Z"
"30","65","47","10","2017-11-17T00:00:00.000Z"
"31","29","64","","2018-11-20T00:00:00.000Z"
"32","8","42","10","2019-02-13T00:00:00.000Z"
"33","111","63","8","2018-07-11T00:00:00.000Z"
"34","52","14","6","2018-09-02T00:00:00.000Z"
"35","91","7","8","2019-03-27T00:00:00.000Z"
"36","87","19","","2017-12-03T00:00:00.000Z"
"37","92","37","","2018-05-26T00:00:00.000Z"
"38","108","62","10","2018-09-15T00:00:00.000Z"
"39","25","52","","2018-08-28T00:00:00.000Z"
"40","39","27","8","2019-03-22T00:00:00.000Z"
"41","70","57","9","2018-05-13T00:00:00.000Z"
"42","31","43","6","2019-02-26T00:00:00.000Z"
"43","109","35","","2019-01-22T00:00:00.000Z"
"44","62","52","6","2019-01-04T00:00:00.000Z"
"45","12","10","6","2019-04-13T00:00:00.000Z"
"46","105","12","10","2018-05-30T00:00:00.000Z"
"47","72","67","","2018-05-19T00:00:00.000Z"
"48","57","25","","2018-06-06T00:00:00.000Z"
"49","117","15","","2019-03-01T00:00:00.000Z"
"50","29","23","","2018-08-02T00:00:00.000Z"
"51","94","60","","2018-02-03T00:00:00.000Z"
"52","103","70","","2018-10-11T00:00:00.000Z"
"53","3","23","","2019-03-13T00:00:00.000Z"
"54","47","42","8","2019-03-13T00:00:00.000Z"
"55","66","37","","2018-04-09T00:00:00.000Z"
"56","81","6","10","2018-12-25T00:00:00.000Z"
"57","25","29","6","2018-04-05T00:00:00.000Z"
"58","56","50","6","2019-05-01T00:00:00.000Z"
"59","41","44","4","2017-09-18T00:00:00.000Z"
"60","99","14","","2018-04-18T00:00:00.000Z"
"61","89","57","8","2018-04-23T00:00:00.000Z"
"62","76","45","7","2019-04-17T00:00:00.000Z"
"63","94","49","10","2018-12-10T00:00:00.000Z"
"64","28","7","7","2018-03-22T00:00:00.000Z"
"65","61","29","9","2018-11-27T00:00:00.000Z"
"66","111","34","","2017-09-26T00:00:00.000Z"
"67","42","21","","2019-03-19T00:00:00.000Z"
"68","21","6","9","2017-06-29T00:00:00.000Z"
"69","18","16","6","2019-03-06T00:00:00.000Z"
"70","10","44","","2017-12-17T00:00:00.000Z"
"71","111","1","5","2018-07-21T00:00:00.000Z"
"72","63","66","5","2018-12-31T00:00:00.000Z"
"73","103","33","9","2017-09-04T00:00:00.000Z"
"74","13","34","7","2017-06-28T00:00:00.000Z"
"75","26","70","","2017-11-03T00:00:00.000Z"
"76","112","10","","2018-08-31T00:00:00.000Z"
"77","99","8","","2017-08-19T00:00:00.000Z"
"78","31","13","10","2018-08-02T00:00:00.000Z"
"79","35","69","9","2017-07-03T00:00:00.000Z"
"80","72","64","","2017-09-12T00:00:00.000Z"
"81","114","30","10","2019-02-09T00:00:00.000Z"
"82","74","29","","2019-02-15T00:00:00.000Z"
"83","120","61","6","2018-08-26T00:00:00.000Z"
"84","82","12","","2018-03-01T00:00:00.000Z"
"85","95","63","10","2017-12-30T00:00:00.000Z"
"86","121","19","9","2018-10-12T00:00:00.000Z"
"87","64","63","","2019-04-24T00:00:00.000Z"
"88","114","16","","2018-05-20T00:00:00.000Z"
"89","25","8","","2018-11-29T00:00:00.000Z"
"90","86","9","10","2018-09-09T00:00:00.000Z"
"91","118","40","5","2018-09-22T00:00:00.000Z"
"92","112","47","9","2019-03-12T00:00:00.000Z"
"93","54","2","8","2018-11-02T00:00:00.000Z"
"94","91","54","","2018-11-23T00:00:00.000Z"
"95","107","49","9","2019-02-09T00:00:00.000Z"
"96","97","4","7","2018-01-15T00:00:00.000Z"
"97","35","58","9","2017-06-19T00:00:00.000Z"
"98","93","40","7","2018-12-06T00:00:00.000Z"
"99","96","36","7","2019-04-21T00:00:00.000Z"
"100","33","18","6","2018-08-23T00:00:00.000Z"
